composition,members,votes,dataset,lang,kind,status,missed,gold_spans
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,nym-en,en,pii,missing,,3584
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,nym-multi,multi,pii,missing,,8169
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,nym-ru,ru,pii,ok,16,9497
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,privy,en,pii,missing,,1899
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,redact-multi,multi,pii,missing,,22864
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,redact-ru,ru,pii,missing,,9230
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,redmadrobot,ru,pii,ok,54,5516
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,rubai-ru,ru,pii,missing,,3458
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,russian-pii-66k,ru,pii,ok,0,4805
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,scanpatch,ru,pii,ok,199,8708
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,secrets-issues,en,secrets,ok,3,288
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,secrets-rules,en,secrets,train,,746
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,synth-env-configs,en,secrets,missing,,392
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,synth-jira-comments,ru,pii,missing,,2705
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,synth-ru-tickets,ru,pii,missing,,32099
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,synth-secrets-en,en,secrets,missing,,581
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,synth-secrets-ru,ru,secrets,missing,,581
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,synth-wiki-tables,ru,pii,missing,,13094
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,tab-echr,en,pii,missing,,3830
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,tonicai,en,pii,missing,,2417
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,alexen2,ru,pii,missing,,1261
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,alrosait,ru,pii,ok,1,1862
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,ameau01,en,pii,missing,,2242
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,arthur-passwords,en,secrets,missing,,280
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,corrupt-hivetrace,ru,pii,missing,,1667
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,corrupt-redmadrobot,ru,pii,missing,,5531
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,corrupt-secrets-issues,en,secrets,missing,,288
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,creddata,en,secrets,missing,,776
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,dialogpii-en,en,pii,missing,,3087
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,dialogpii-multi,multi,pii,missing,,10345
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,factrueval,ru,pii,missing,,7966
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,gretel-multi,multi,pii,missing,,4484
