system,dataset,train,category,gold,original_gold,characters,hit,hidden,raw_hidden,original_hidden,covered_characters
composition:pplx+fastino+bardsai+mmbert,alexen2,False,names,571,571,7577,570,368,368,368,7371
"composition:vote2(pplx,opf2,nvidia)",alexen2,False,contacts,690,690,11877,690,59,59,59,11246
"composition:vote2(pplx,opf2,nvidia)",alexen2,False,names,571,571,7577,543,274,249,249,7097
model:spacy-alrosait,alrosait,True,addresses,875,875,25527,875,874,874,874,25519
model:spacy-alrosait,alrosait,True,names,987,987,17872,986,985,985,985,17856
model:gliner25-fastino,alrosait,False,addresses,875,875,25527,873,658,655,655,23250
model:gliner25-fastino,alrosait,False,names,987,987,17872,981,963,958,958,17645
model:gliner-multi-v21,alrosait,False,addresses,875,875,25527,867,351,275,275,19878
model:gliner-multi-v21,alrosait,False,names,987,987,17872,986,983,983,983,17830
model:pplx,alrosait,False,addresses,875,875,25527,870,820,793,793,25267
model:pplx,alrosait,False,names,987,987,17872,982,980,959,959,17777
model:nym-base,alrosait,False,addresses,875,875,25527,874,249,268,268,22294
model:nym-base,alrosait,False,names,987,987,17872,976,90,936,936,16728
model:nuner-zero,alrosait,False,addresses,875,875,25527,872,478,0,0,22961
model:nuner-zero,alrosait,False,names,987,987,17872,978,973,73,73,17679
model:gliner-multi-v21-ru,alrosait,False,addresses,875,875,25527,871,348,272,272,20159
model:gliner-multi-v21-ru,alrosait,False,names,987,987,17872,976,972,972,972,17642
model:gliner25-fastino-ru,alrosait,False,addresses,875,875,25527,871,672,670,670,23326
model:gliner25-fastino-ru,alrosait,False,names,987,987,17872,973,941,938,938,17416
model:ner-ru-yqelz,alrosait,False,addresses,875,875,25527,868,66,63,63,12336
model:ner-ru-yqelz,alrosait,False,names,987,987,17872,974,958,923,923,17582
model:opf-ru,alrosait,False,addresses,875,875,25527,870,110,2,2,18966
model:opf-ru,alrosait,False,names,987,987,17872,970,739,649,649,15918
model:mmbert32k,alrosait,False,addresses,875,875,25527,867,111,8,8,17594
model:mmbert32k,alrosait,False,names,987,987,17872,962,708,361,361,16034
model:davlan-xlmr,alrosait,False,addresses,875,875,25527,859,92,87,87,18692
model:davlan-xlmr,alrosait,False,names,987,987,17872,968,953,873,873,17424
model:gliner2-vladlinv,alrosait,False,addresses,875,875,25527,829,724,702,702,23239
model:gliner2-vladlinv,alrosait,False,names,987,987,17872,980,965,958,958,17660
model:bardsai-eu,alrosait,False,addresses,875,875,25527,841,286,268,268,21431
model:bardsai-eu,alrosait,False,names,987,987,17872,967,942,878,878,17343
model:gliner2-vladlinv-ru,alrosait,False,addresses,875,875,25527,826,723,701,701,23189
model:gliner2-vladlinv-ru,alrosait,False,names,987,987,17872,979,962,954,954,17640
model:fef2-secret-ru,alrosait,False,addresses,875,875,25527,823,86,83,83,14014
model:fef2-secret-ru,alrosait,False,names,987,987,17872,975,945,849,849,17608
model:davlan-mbert,alrosait,False,addresses,875,875,25527,832,54,53,53,15454
model:davlan-mbert,alrosait,False,names,987,987,17872,963,926,763,763,17259
model:ru-legal-ner,alrosait,False,addresses,875,875,25527,818,392,353,353,20640
model:ru-legal-ner,alrosait,False,names,987,987,17872,975,957,911,911,17719
model:ner-ru-gherman,alrosait,False,addresses,875,875,25527,828,1,0,0,16635
model:ner-ru-gherman,alrosait,False,names,987,987,17872,963,32,26,26,15858
model:ru-pii-ner,alrosait,False,addresses,875,875,25527,806,778,778,778,23609
model:ru-pii-ner,alrosait,False,names,987,987,17872,981,976,975,975,17806
model:stanza-ru,alrosait,False,addresses,875,875,25527,818,58,58,58,13482
model:stanza-ru,alrosait,False,names,987,987,17872,966,963,929,929,17464
model:gliner-urchade,alrosait,False,addresses,875,875,25527,735,697,697,697,19152
model:gliner-urchade,alrosait,False,names,987,987,17872,986,984,984,984,17830
model:traciora,alrosait,False,addresses,875,875,25527,804,643,632,632,22675
model:traciora,alrosait,False,names,987,987,17872,914,787,719,719,16083
model:apararti,alrosait,False,addresses,875,875,25527,799,519,499,499,21377
model:apararti,alrosait,False,names,987,987,17872,870,750,664,664,15107
model:openmed-nemotron,alrosait,False,addresses,875,875,25527,784,76,70,70,14307
model:openmed-nemotron,alrosait,False,names,987,987,17872,885,235,384,384,13901
model:gliner2-hivetrace-omni-ru,alrosait,False,addresses,875,875,25527,681,491,491,491,14761
model:gliner2-hivetrace-omni-ru,alrosait,False,names,987,987,17872,986,977,977,977,17807
model:gliner2-hivetrace-omni,alrosait,False,addresses,875,875,25527,678,487,487,487,14674
model:gliner2-hivetrace-omni,alrosait,False,names,987,987,17872,986,980,980,980,17822
model:opf-ru-v2,alrosait,False,addresses,875,875,25527,792,539,535,535,21402
model:opf-ru-v2,alrosait,False,names,987,987,17872,867,747,665,665,15047
model:gliner2-large,alrosait,False,addresses,875,875,25527,827,294,273,273,16763
model:gliner2-large,alrosait,False,names,987,987,17872,810,659,657,657,13413
model:gliner2-fastino,alrosait,False,addresses,875,875,25527,650,487,485,485,14012
model:gliner2-fastino,alrosait,False,names,987,987,17872,984,974,972,972,17747
model:pii-shield-onnx,alrosait,False,addresses,875,875,25527,714,216,199,199,16862
model:pii-shield-onnx,alrosait,False,names,987,987,17872,915,766,708,708,16044
model:openai-base,alrosait,False,addresses,875,875,25527,795,611,616,616,22339
model:openai-base,alrosait,False,names,987,987,17872,828,764,731,731,14798
model:gliner2-fastino-ru,alrosait,False,addresses,875,875,25527,636,498,497,497,13860
model:gliner2-fastino-ru,alrosait,False,names,987,987,17872,978,959,957,957,17602
model:gliner-nvidia,alrosait,False,addresses,875,875,25527,692,584,583,583,16791
model:gliner-nvidia,alrosait,False,names,987,987,17872,908,764,739,739,14265
model:spacy-ru-lg,alrosait,False,addresses,875,875,25527,627,6,6,6,8088
model:spacy-ru-lg,alrosait,False,names,987,987,17872,968,889,758,758,16879
model:opf-kz-ru,alrosait,False,addresses,875,875,25527,794,165,154,154,16717
model:opf-kz-ru,alrosait,False,names,987,987,17872,788,655,539,539,13899
model:gliner-nvidia-ru,alrosait,False,addresses,875,875,25527,695,559,559,559,16452
model:gliner-nvidia-ru,alrosait,False,names,987,987,17872,850,569,402,402,11538
model:openmed-multilingual,alrosait,False,addresses,875,875,25527,825,38,23,23,12227
model:openmed-multilingual,alrosait,False,names,987,987,17872,674,125,207,207,9043
model:natasha,alrosait,False,addresses,875,875,25527,527,18,17,17,6199
model:natasha,alrosait,False,names,987,987,17872,946,914,858,858,17024
model:gliner-stream-pii,alrosait,False,addresses,875,875,25527,629,218,217,217,13076
model:gliner-stream-pii,alrosait,False,names,987,987,17872,812,622,577,577,12474
