system,dataset,train,category,gold,original_gold,characters,hit,hidden,raw_hidden,original_hidden,covered_characters
model:gliner25-fastino,redact-multi,False,network,111,111,1560,96,94,94,94,1228
model:openmed-nemotron,redact-multi,False,other,1939,2010,41683,491,300,149,161,7128
model:openmed-nemotron,redact-multi,False,addresses,2107,2130,42067,1433,689,566,581,25381
model:openmed-nemotron,redact-multi,False,accounts,2669,2676,40102,981,414,268,270,10452
model:openmed-nemotron,redact-multi,False,financial,138,141,2081,57,23,14,15,561
model:openmed-nemotron,redact-multi,False,dates,628,628,6990,549,469,426,426,5436
model:openmed-nemotron,redact-multi,False,identity,829,834,9796,369,245,99,102,3928
model:openmed-nemotron,redact-multi,False,contacts,2524,2529,56527,2450,2144,2055,2071,52701
model:openmed-nemotron,redact-multi,False,names,10870,10914,109143,9203,5982,6799,7021,85591
model:openmed-nemotron,redact-multi,False,organizations,1017,1022,21375,594,268,167,170,9830
model:openmed-nemotron,redact-multi,False,secrets,32,32,1195,26,15,6,6,923
model:openmed-nemotron,redact-multi,False,network,111,111,1560,102,85,80,82,1280
model:opf-kz-ru,redact-multi,False,other,1939,2010,41683,337,237,173,179,5902
model:opf-kz-ru,redact-multi,False,addresses,2107,2130,42067,1221,955,895,915,29315
model:opf-kz-ru,redact-multi,False,accounts,2669,2676,40102,2309,2088,1916,1937,34070
model:opf-kz-ru,redact-multi,False,financial,138,141,2081,98,68,67,70,1261
model:opf-kz-ru,redact-multi,False,dates,628,628,6990,611,556,537,543,6493
model:opf-kz-ru,redact-multi,False,identity,829,834,9796,792,750,737,753,9188
model:opf-kz-ru,redact-multi,False,contacts,2524,2529,56527,2491,2409,2368,2397,54768
model:opf-kz-ru,redact-multi,False,names,10870,10914,109143,7688,7232,6670,6806,79515
model:opf-kz-ru,redact-multi,False,organizations,1017,1022,21375,173,88,71,71,2754
model:opf-kz-ru,redact-multi,False,secrets,32,32,1195,27,24,21,21,957
model:opf-kz-ru,redact-multi,False,network,111,111,1560,97,81,65,67,1216
model:kalyan-ettin,redact-multi,False,other,1939,2010,41683,402,279,144,147,5373
model:kalyan-ettin,redact-multi,False,addresses,2107,2130,42067,1592,891,754,782,28349
model:kalyan-ettin,redact-multi,False,accounts,2669,2676,40102,1357,501,287,287,13747
model:kalyan-ettin,redact-multi,False,financial,138,141,2081,37,21,17,18,399
model:kalyan-ettin,redact-multi,False,dates,628,628,6990,535,384,349,349,4894
model:kalyan-ettin,redact-multi,False,identity,829,834,9796,397,288,84,86,4046
model:kalyan-ettin,redact-multi,False,contacts,2524,2529,56527,2369,1905,1875,1889,51265
model:kalyan-ettin,redact-multi,False,names,10870,10914,109143,8441,5530,6010,6188,81083
model:kalyan-ettin,redact-multi,False,organizations,1017,1022,21375,494,219,127,129,7427
model:kalyan-ettin,redact-multi,False,secrets,32,32,1195,26,10,5,5,728
model:kalyan-ettin,redact-multi,False,network,111,111,1560,100,82,76,78,1303
model:gliner-multi-v21,redact-multi,False,other,1939,2010,41683,777,620,617,642,9262
model:gliner-multi-v21,redact-multi,False,addresses,2107,2130,42067,1788,1114,1108,1122,29170
model:gliner-multi-v21,redact-multi,False,accounts,2669,2676,40102,361,269,269,274,4894
model:gliner-multi-v21,redact-multi,False,financial,138,141,2081,15,10,10,10,169
model:gliner-multi-v21,redact-multi,False,dates,628,628,6990,458,451,451,451,4921
model:gliner-multi-v21,redact-multi,False,identity,829,834,9796,89,83,83,83,1026
model:gliner-multi-v21,redact-multi,False,contacts,2524,2529,56527,1205,647,647,649,18491
model:gliner-multi-v21,redact-multi,False,names,10870,10914,109143,9815,9735,9727,9768,97555
model:gliner-multi-v21,redact-multi,False,organizations,1017,1022,21375,923,844,842,845,18683
model:gliner-multi-v21,redact-multi,False,secrets,32,32,1195,10,6,6,6,136
model:gliner-multi-v21,redact-multi,False,network,111,111,1560,69,68,68,68,953
model:gliner2-large,redact-multi,False,other,1939,2010,41683,952,771,769,796,9953
model:gliner2-large,redact-multi,False,addresses,2107,2130,42067,1605,1151,1150,1160,23181
model:gliner2-large,redact-multi,False,accounts,2669,2676,40102,1104,1063,1061,1069,15696
model:gliner2-large,redact-multi,False,financial,138,141,2081,73,44,44,46,616
model:gliner2-large,redact-multi,False,dates,628,628,6990,567,543,543,543,6110
model:gliner2-large,redact-multi,False,identity,829,834,9796,437,423,423,424,4943
model:gliner2-large,redact-multi,False,contacts,2524,2529,56527,2445,2397,2390,2401,53736
model:gliner2-large,redact-multi,False,names,10870,10914,109143,7267,7029,7026,7054,70166
model:gliner2-large,redact-multi,False,organizations,1017,1022,21375,830,728,728,733,16486
model:gliner2-large,redact-multi,False,secrets,32,32,1195,10,7,7,7,257
model:gliner2-large,redact-multi,False,network,111,111,1560,99,97,97,97,1254
model:gravitee-small,redact-multi,False,other,1939,2010,41683,431,273,221,235,5704
model:gravitee-small,redact-multi,False,addresses,2107,2130,42067,1485,1217,1116,1135,29382
model:gravitee-small,redact-multi,False,accounts,2669,2676,40102,247,157,124,126,4361
model:gravitee-small,redact-multi,False,financial,138,141,2081,52,35,32,33,680
model:gravitee-small,redact-multi,False,dates,628,628,6990,565,534,506,507,5964
model:gravitee-small,redact-multi,False,identity,829,834,9796,406,369,343,346,4643
model:gravitee-small,redact-multi,False,contacts,2524,2529,56527,2355,2036,1991,1997,51477
model:gravitee-small,redact-multi,False,names,10870,10914,109143,8640,8359,7838,7988,87195
model:gravitee-small,redact-multi,False,organizations,1017,1022,21375,661,503,449,451,12918
model:gravitee-small,redact-multi,False,secrets,32,32,1195,18,11,10,10,392
model:gravitee-small,redact-multi,False,network,111,111,1560,101,91,88,90,1292
model:davlan-xlmr,redact-multi,False,other,1939,2010,41683,281,186,130,149,3515
model:davlan-xlmr,redact-multi,False,addresses,2107,2130,42067,2013,1293,1200,1274,30213
model:davlan-xlmr,redact-multi,False,accounts,2669,2676,40102,145,42,23,23,2135
model:davlan-xlmr,redact-multi,False,financial,138,141,2081,2,0,0,0,6
model:davlan-xlmr,redact-multi,False,dates,628,628,6990,1,1,0,0,19
model:davlan-xlmr,redact-multi,False,identity,829,834,9796,8,3,0,0,133
model:davlan-xlmr,redact-multi,False,contacts,2524,2529,56527,638,5,0,0,7590
model:davlan-xlmr,redact-multi,False,names,10870,10914,109143,10649,10276,9726,10197,103857
model:davlan-xlmr,redact-multi,False,organizations,1017,1022,21375,976,887,842,878,20015
model:davlan-xlmr,redact-multi,False,secrets,32,32,1195,1,0,0,0,8
model:davlan-xlmr,redact-multi,False,network,111,111,1560,0,0,0,0,0
model:opf-ru-v2,redact-multi,False,other,1939,2010,41683,245,162,85,94,4447
model:opf-ru-v2,redact-multi,False,addresses,2107,2130,42067,979,579,510,517,21272
model:opf-ru-v2,redact-multi,False,accounts,2669,2676,40102,1321,472,291,296,15736
model:opf-ru-v2,redact-multi,False,financial,138,141,2081,56,30,25,27,613
model:opf-ru-v2,redact-multi,False,dates,628,628,6990,45,8,2,2,284
model:opf-ru-v2,redact-multi,False,identity,829,834,9796,690,543,406,413,7465
model:opf-ru-v2,redact-multi,False,contacts,2524,2529,56527,2410,2236,2181,2203,52114
model:opf-ru-v2,redact-multi,False,names,10870,10914,109143,8040,7720,7253,7435,82556
model:opf-ru-v2,redact-multi,False,organizations,1017,1022,21375,221,102,83,83,3529
model:opf-ru-v2,redact-multi,False,secrets,32,32,1195,25,20,15,15,890
model:opf-ru-v2,redact-multi,False,network,111,111,1560,104,97,91,93,1321
model:davlan-mbert,redact-multi,False,other,1939,2010,41683,277,181,118,133,3839
model:davlan-mbert,redact-multi,False,addresses,2107,2130,42067,2009,1270,1172,1241,28960
model:davlan-mbert,redact-multi,False,accounts,2669,2676,40102,130,28,1,1,1477
model:davlan-mbert,redact-multi,False,financial,138,141,2081,2,1,1,1,14
model:davlan-mbert,redact-multi,False,dates,628,628,6990,1,1,0,0,19
model:davlan-mbert,redact-multi,False,identity,829,834,9796,7,2,0,0,99
model:davlan-mbert,redact-multi,False,contacts,2524,2529,56527,228,9,3,3,2725
model:davlan-mbert,redact-multi,False,names,10870,10914,109143,10519,10069,9418,9943,102507
model:davlan-mbert,redact-multi,False,organizations,1017,1022,21375,931,727,665,700,18332
model:davlan-mbert,redact-multi,False,secrets,32,32,1195,1,0,0,0,8
model:davlan-mbert,redact-multi,False,network,111,111,1560,0,0,0,0,0
model:ru-legal-ner,redact-multi,False,other,1939,2010,41683,1098,672,429,472,20710
model:ru-legal-ner,redact-multi,False,addresses,2107,2130,42067,1349,757,560,583,22879
model:ru-legal-ner,redact-multi,False,accounts,2669,2676,40102,1845,509,256,259,20735
model:ru-legal-ner,redact-multi,False,financial,138,141,2081,105,55,39,42,1081
model:ru-legal-ner,redact-multi,False,dates,628,628,6990,439,274,257,259,4054
model:ru-legal-ner,redact-multi,False,identity,829,834,9796,613,454,226,231,6679
model:ru-legal-ner,redact-multi,False,contacts,2524,2529,56527,2447,1589,1450,1461,48325
model:ru-legal-ner,redact-multi,False,names,10870,10914,109143,5377,4357,2954,3048,50955
model:ru-legal-ner,redact-multi,False,organizations,1017,1022,21375,596,287,180,186,10105
model:ru-legal-ner,redact-multi,False,secrets,32,32,1195,28,12,6,6,951
model:ru-legal-ner,redact-multi,False,network,111,111,1560,65,17,11,11,634
model:traciora,redact-multi,False,other,1939,2010,41683,267,183,102,108,4527
model:traciora,redact-multi,False,addresses,2107,2130,42067,1163,895,799,817,26595
model:traciora,redact-multi,False,accounts,2669,2676,40102,1017,575,398,403,13850
model:traciora,redact-multi,False,financial,138,141,2081,35,16,15,17,491
model:traciora,redact-multi,False,dates,628,628,6990,190,31,7,7,1182
model:traciora,redact-multi,False,identity,829,834,9796,531,403,225,231,5890
model:traciora,redact-multi,False,contacts,2524,2529,56527,2426,2275,2193,2209,53693
model:traciora,redact-multi,False,names,10870,10914,109143,7896,7386,6693,6909,80959
model:traciora,redact-multi,False,organizations,1017,1022,21375,243,112,87,89,4383
model:traciora,redact-multi,False,secrets,32,32,1195,24,18,13,13,877
model:traciora,redact-multi,False,network,111,111,1560,85,61,57,58,970
model:ner-ru-gherman,redact-multi,False,other,1939,2010,41683,218,148,51,56,3330
model:ner-ru-gherman,redact-multi,False,addresses,2107,2130,42067,1982,1204,1040,1094,26507
model:ner-ru-gherman,redact-multi,False,accounts,2669,2676,40102,111,38,1,1,1768
model:ner-ru-gherman,redact-multi,False,financial,138,141,2081,0,0,0,0,0
model:ner-ru-gherman,redact-multi,False,dates,628,628,6990,1,1,0,0,19
model:ner-ru-gherman,redact-multi,False,identity,829,834,9796,4,1,0,0,90
model:ner-ru-gherman,redact-multi,False,contacts,2524,2529,56527,690,4,0,0,7164
model:ner-ru-gherman,redact-multi,False,names,10870,10914,109143,10403,6895,6137,6664,96004
model:ner-ru-gherman,redact-multi,False,organizations,1017,1022,21375,338,50,4,4,3108
model:ner-ru-gherman,redact-multi,False,secrets,32,32,1195,2,0,0,0,15
model:ner-ru-gherman,redact-multi,False,network,111,111,1560,0,0,0,0,0
model:ru-pii-ner,redact-multi,False,other,1939,2010,41683,239,187,160,161,3713
model:ru-pii-ner,redact-multi,False,addresses,2107,2130,42067,559,426,423,429,11284
model:ru-pii-ner,redact-multi,False,accounts,2669,2676,40102,1813,1742,1699,1724,26879
model:ru-pii-ner,redact-multi,False,financial,138,141,2081,74,47,45,48,818
model:ru-pii-ner,redact-multi,False,dates,628,628,6990,525,499,483,483,5586
model:ru-pii-ner,redact-multi,False,identity,829,834,9796,654,632,621,633,7588
model:ru-pii-ner,redact-multi,False,contacts,2524,2529,56527,1947,1862,1826,1845,42696
model:ru-pii-ner,redact-multi,False,names,10870,10914,109143,7535,7270,7200,7279,79881
model:ru-pii-ner,redact-multi,False,organizations,1017,1022,21375,110,81,76,76,1902
model:ru-pii-ner,redact-multi,False,secrets,32,32,1195,13,7,7,7,297
model:ru-pii-ner,redact-multi,False,network,111,111,1560,35,35,31,32,500
model:ner-ru-yqelz,redact-multi,False,other,1939,2010,41683,767,445,327,375,11144
model:ner-ru-yqelz,redact-multi,False,addresses,2107,2130,42067,1995,1271,1159,1222,29352
model:ner-ru-yqelz,redact-multi,False,accounts,2669,2676,40102,138,31,19,20,2066
model:ner-ru-yqelz,redact-multi,False,financial,138,141,2081,36,7,4,4,278
model:ner-ru-yqelz,redact-multi,False,dates,628,628,6990,10,7,5,5,123
model:ner-ru-yqelz,redact-multi,False,identity,829,834,9796,38,24,6,6,477
model:ner-ru-yqelz,redact-multi,False,contacts,2524,2529,56527,315,4,2,2,3112
model:ner-ru-yqelz,redact-multi,False,names,10870,10914,109143,8590,8013,7019,7223,83714
model:ner-ru-yqelz,redact-multi,False,organizations,1017,1022,21375,873,664,557,592,17283
model:ner-ru-yqelz,redact-multi,False,secrets,32,32,1195,3,2,1,1,73
model:ner-ru-yqelz,redact-multi,False,network,111,111,1560,3,1,1,1,15
model:stanza-ru,redact-multi,False,other,1939,2010,41683,636,417,400,416,10044
model:stanza-ru,redact-multi,False,addresses,2107,2130,42067,1440,874,870,882,18332
model:stanza-ru,redact-multi,False,accounts,2669,2676,40102,1107,130,112,114,6125
model:stanza-ru,redact-multi,False,financial,138,141,2081,16,6,5,5,172
model:stanza-ru,redact-multi,False,dates,628,628,6990,29,10,8,8,254
model:stanza-ru,redact-multi,False,identity,829,834,9796,93,67,59,62,906
model:stanza-ru,redact-multi,False,contacts,2524,2529,56527,131,107,107,107,3397
model:stanza-ru,redact-multi,False,names,10870,10914,109143,7779,7546,7503,7541,81788
model:stanza-ru,redact-multi,False,organizations,1017,1022,21375,693,533,532,535,14382
model:stanza-ru,redact-multi,False,secrets,32,32,1195,10,3,3,3,175
model:stanza-ru,redact-multi,False,network,111,111,1560,5,2,2,2,68
model:gliner2-vladlinv,redact-multi,False,other,1939,2010,41683,107,80,80,81,1156
model:gliner2-vladlinv,redact-multi,False,addresses,2107,2130,42067,642,615,615,620,14479
model:gliner2-vladlinv,redact-multi,False,accounts,2669,2676,40102,374,362,362,363,5150
model:gliner2-vladlinv,redact-multi,False,financial,138,141,2081,9,6,6,6,108
model:gliner2-vladlinv,redact-multi,False,dates,628,628,6990,590,580,580,580,6495
model:gliner2-vladlinv,redact-multi,False,identity,829,834,9796,156,153,153,153,1713
model:gliner2-vladlinv,redact-multi,False,contacts,2524,2529,56527,2135,2104,2098,2107,47288
model:gliner2-vladlinv,redact-multi,False,names,10870,10914,109143,7560,7322,7316,7346,72082
model:gliner2-vladlinv,redact-multi,False,organizations,1017,1022,21375,17,9,9,9,248
model:gliner2-vladlinv,redact-multi,False,secrets,32,32,1195,16,14,14,14,319
model:gliner2-vladlinv,redact-multi,False,network,111,111,1560,22,21,21,21,276
model:gliner-stream-pii,redact-multi,False,other,1939,2010,41683,635,472,470,487,6053
model:gliner-stream-pii,redact-multi,False,addresses,2107,2130,42067,909,639,639,641,11216
model:gliner-stream-pii,redact-multi,False,accounts,2669,2676,40102,907,826,825,831,12163
model:gliner-stream-pii,redact-multi,False,financial,138,141,2081,55,17,17,18,380
model:gliner-stream-pii,redact-multi,False,dates,628,628,6990,448,410,410,410,4546
model:gliner-stream-pii,redact-multi,False,identity,829,834,9796,342,280,279,282,3529
model:gliner-stream-pii,redact-multi,False,contacts,2524,2529,56527,1288,1079,1079,1081,24817
model:gliner-stream-pii,redact-multi,False,names,10870,10914,109143,5840,4105,4059,4072,50602
model:gliner-stream-pii,redact-multi,False,organizations,1017,1022,21375,370,274,273,273,6703
model:gliner-stream-pii,redact-multi,False,secrets,32,32,1195,6,1,1,1,81
model:gliner-stream-pii,redact-multi,False,network,111,111,1560,86,84,84,84,1075
model:gliner-pii-edge,redact-multi,False,other,1939,2010,41683,812,568,566,575,10393
model:gliner-pii-edge,redact-multi,False,addresses,2107,2130,42067,1448,1114,1114,1123,21088
model:gliner-pii-edge,redact-multi,False,accounts,2669,2676,40102,1317,1253,1249,1255,19573
model:gliner-pii-edge,redact-multi,False,financial,138,141,2081,78,50,50,52,818
model:gliner-pii-edge,redact-multi,False,dates,628,628,6990,263,255,255,255,2657
model:gliner-pii-edge,redact-multi,False,identity,829,834,9796,429,415,415,415,4852
model:gliner-pii-edge,redact-multi,False,contacts,2524,2529,56527,2221,2095,2094,2100,47395
model:gliner-pii-edge,redact-multi,False,names,10870,10914,109143,3413,3175,3154,3167,32726
model:gliner-pii-edge,redact-multi,False,organizations,1017,1022,21375,598,506,505,510,11974
model:gliner-pii-edge,redact-multi,False,secrets,32,32,1195,23,13,13,13,785
model:gliner-pii-edge,redact-multi,False,network,111,111,1560,102,98,98,98,1358
model:gliner-pii-base,redact-multi,False,other,1939,2010,41683,587,425,423,440,6262
model:gliner-pii-base,redact-multi,False,addresses,2107,2130,42067,1271,959,957,965,14805
model:gliner-pii-base,redact-multi,False,accounts,2669,2676,40102,845,828,823,831,11243
model:gliner-pii-base,redact-multi,False,financial,138,141,2081,21,18,18,19,307
model:gliner-pii-base,redact-multi,False,dates,628,628,6990,207,200,200,200,2103
model:gliner-pii-base,redact-multi,False,identity,829,834,9796,343,336,336,337,3847
model:gliner-pii-base,redact-multi,False,contacts,2524,2529,56527,2174,2097,2096,2100,46685
model:gliner-pii-base,redact-multi,False,names,10870,10914,109143,1434,853,853,856,9865
model:gliner-pii-base,redact-multi,False,organizations,1017,1022,21375,700,568,568,572,13351
model:gliner-pii-base,redact-multi,False,secrets,32,32,1195,6,4,4,4,151
model:gliner-pii-base,redact-multi,False,network,111,111,1560,102,98,98,98,1285
model:fef2-secret-ru,redact-multi,False,other,1939,2010,41683,20,13,8,9,206
model:fef2-secret-ru,redact-multi,False,addresses,2107,2130,42067,90,32,19,20,921
model:fef2-secret-ru,redact-multi,False,accounts,2669,2676,40102,574,419,341,341,7558
model:fef2-secret-ru,redact-multi,False,financial,138,141,2081,0,0,0,0,0
model:fef2-secret-ru,redact-multi,False,dates,628,628,6990,1,0,0,0,1
model:fef2-secret-ru,redact-multi,False,identity,829,834,9796,17,15,12,12,176
model:fef2-secret-ru,redact-multi,False,contacts,2524,2529,56527,1211,819,741,742,26886
model:fef2-secret-ru,redact-multi,False,names,10870,10914,109143,1558,1329,1119,1129,15971
model:fef2-secret-ru,redact-multi,False,organizations,1017,1022,21375,83,43,42,42,1445
model:fef2-secret-ru,redact-multi,False,secrets,32,32,1195,12,8,7,7,403
model:fef2-secret-ru,redact-multi,False,network,111,111,1560,0,0,0,0,0
model:rules-ru,redact-multi,False,other,1939,2010,41683,9,4,4,4,123
model:rules-ru,redact-multi,False,addresses,2107,2130,42067,5,4,4,4,130
model:rules-ru,redact-multi,False,accounts,2669,2676,40102,171,147,144,147,2621
model:rules-ru,redact-multi,False,financial,138,141,2081,4,4,4,4,64
model:rules-ru,redact-multi,False,dates,628,628,6990,1,1,1,1,20
model:rules-ru,redact-multi,False,identity,829,834,9796,10,10,10,10,135
model:rules-ru,redact-multi,False,contacts,2524,2529,56527,2244,2211,2199,2214,51271
model:rules-ru,redact-multi,False,names,10870,10914,109143,32,27,27,31,487
model:rules-ru,redact-multi,False,organizations,1017,1022,21375,70,43,43,44,1296
model:rules-ru,redact-multi,False,secrets,32,32,1195,5,4,4,4,334
model:rules-ru,redact-multi,False,network,111,111,1560,90,88,85,87,1199
model:spacy-ru-lg,redact-multi,False,other,1939,2010,41683,149,104,104,112,2062
model:spacy-ru-lg,redact-multi,False,addresses,2107,2130,42067,373,176,175,175,4355
model:spacy-ru-lg,redact-multi,False,accounts,2669,2676,40102,48,43,43,44,656
model:spacy-ru-lg,redact-multi,False,financial,138,141,2081,1,0,0,0,6
model:spacy-ru-lg,redact-multi,False,dates,628,628,6990,23,9,9,9,242
model:spacy-ru-lg,redact-multi,False,identity,829,834,9796,17,17,17,17,218
model:spacy-ru-lg,redact-multi,False,contacts,2524,2529,56527,42,38,38,38,1051
model:spacy-ru-lg,redact-multi,False,names,10870,10914,109143,1121,1024,1023,1029,10836
model:spacy-ru-lg,redact-multi,False,organizations,1017,1022,21375,191,145,144,144,3635
model:spacy-ru-lg,redact-multi,False,secrets,32,32,1195,3,2,2,2,44
model:spacy-ru-lg,redact-multi,False,network,111,111,1560,2,2,2,2,26
model:natasha,redact-multi,False,other,1939,2010,41683,31,15,15,16,420
model:natasha,redact-multi,False,addresses,2107,2130,42067,263,123,123,123,2792
model:natasha,redact-multi,False,accounts,2669,2676,40102,234,195,195,195,3262
model:natasha,redact-multi,False,financial,138,141,2081,1,0,0,0,4
model:natasha,redact-multi,False,dates,628,628,6990,0,0,0,0,0
model:natasha,redact-multi,False,identity,829,834,9796,16,16,11,11,163
model:natasha,redact-multi,False,contacts,2524,2529,56527,8,0,0,0,84
model:natasha,redact-multi,False,names,10870,10914,109143,535,505,505,508,5475
model:natasha,redact-multi,False,organizations,1017,1022,21375,122,93,93,93,2237
model:natasha,redact-multi,False,secrets,32,32,1195,2,0,0,0,20
model:natasha,redact-multi,False,network,111,111,1560,0,0,0,0,0
model:spacy-alrosait,redact-multi,False,other,1939,2010,41683,1,0,0,0,8
model:spacy-alrosait,redact-multi,False,addresses,2107,2130,42067,10,0,0,0,129
model:spacy-alrosait,redact-multi,False,accounts,2669,2676,40102,0,0,0,0,0
model:spacy-alrosait,redact-multi,False,financial,138,141,2081,0,0,0,0,0
model:spacy-alrosait,redact-multi,False,dates,628,628,6990,0,0,0,0,0
model:spacy-alrosait,redact-multi,False,identity,829,834,9796,0,0,0,0,0
model:spacy-alrosait,redact-multi,False,contacts,2524,2529,56527,3,0,0,0,30
model:spacy-alrosait,redact-multi,False,names,10870,10914,109143,5,3,3,4,58
model:spacy-alrosait,redact-multi,False,organizations,1017,1022,21375,3,0,0,0,20
model:spacy-alrosait,redact-multi,False,secrets,32,32,1195,0,0,0,0,0
model:spacy-alrosait,redact-multi,False,network,111,111,1560,0,0,0,0,0
composition:pplx,redact-multi,False,other,1939,2010,41683,1091,929,862,936,15877
composition:pplx,redact-multi,False,addresses,2107,2130,42067,1625,1559,1522,1563,36025
composition:pplx,redact-multi,False,accounts,2669,2676,40102,2579,2539,2500,2536,38385
composition:pplx,redact-multi,False,financial,138,141,2081,136,69,66,69,1229
composition:pplx,redact-multi,False,dates,628,628,6990,628,615,604,615,6934
composition:pplx,redact-multi,False,identity,829,834,9796,821,799,786,804,9524
composition:pplx,redact-multi,False,contacts,2524,2529,56527,2510,2466,2438,2466,55627
composition:pplx,redact-multi,False,names,10870,10914,109143,10812,10711,10294,10740,108159
composition:pplx,redact-multi,False,organizations,1017,1022,21375,94,65,60,60,1427
composition:pplx,redact-multi,False,secrets,32,32,1195,31,29,29,29,1075
composition:pplx,redact-multi,False,network,111,111,1560,110,107,104,106,1538
composition:fastino,redact-multi,False,other,1939,2010,41683,1236,975,970,1007,14583
composition:fastino,redact-multi,False,addresses,2107,2130,42067,1887,1416,1410,1426,21743
composition:fastino,redact-multi,False,accounts,2669,2676,40102,1380,1344,1341,1349,19482
composition:fastino,redact-multi,False,financial,138,141,2081,75,51,51,54,725
composition:fastino,redact-multi,False,dates,628,628,6990,620,611,611,611,6823
composition:fastino,redact-multi,False,identity,829,834,9796,713,699,698,701,8100
composition:fastino,redact-multi,False,contacts,2524,2529,56527,2491,2445,2438,2450,54879
composition:fastino,redact-multi,False,names,10870,10914,109143,9884,9534,9532,9574,95573
composition:fastino,redact-multi,False,organizations,1017,1022,21375,920,850,848,853,18536
composition:fastino,redact-multi,False,secrets,32,32,1195,21,19,19,19,474
composition:fastino,redact-multi,False,network,111,111,1560,102,100,100,100,1382
composition:pplx+fastino,redact-multi,False,other,1939,2010,41683,1498,1227,1171,1261,21575
composition:pplx+fastino,redact-multi,False,addresses,2107,2130,42067,2042,1955,1927,1969,39989
composition:pplx+fastino,redact-multi,False,accounts,2669,2676,40102,2607,2579,2549,2585,38878
composition:pplx+fastino,redact-multi,False,financial,138,141,2081,136,75,72,75,1249
composition:pplx+fastino,redact-multi,False,dates,628,628,6990,628,619,611,619,6947
composition:pplx+fastino,redact-multi,False,identity,829,834,9796,824,806,795,811,9575
composition:pplx+fastino,redact-multi,False,contacts,2524,2529,56527,2519,2484,2466,2489,55827
composition:pplx+fastino,redact-multi,False,names,10870,10914,109143,10842,10754,10441,10794,108438
composition:pplx+fastino,redact-multi,False,organizations,1017,1022,21375,941,876,870,875,18832
composition:pplx+fastino,redact-multi,False,secrets,32,32,1195,31,29,29,29,1075
composition:pplx+fastino,redact-multi,False,network,111,111,1560,111,110,107,109,1557
composition:pplx+fastino+mmbert,redact-multi,False,other,1939,2010,41683,1644,1283,1181,1285,24132
composition:pplx+fastino+mmbert,redact-multi,False,addresses,2107,2130,42067,2093,1993,1939,1993,40782
composition:pplx+fastino+mmbert,redact-multi,False,accounts,2669,2676,40102,2664,2586,2550,2586,39520
composition:pplx+fastino+mmbert,redact-multi,False,financial,138,141,2081,138,78,74,77,1355
composition:pplx+fastino+mmbert,redact-multi,False,dates,628,628,6990,628,621,611,619,6965
composition:pplx+fastino+mmbert,redact-multi,False,identity,829,834,9796,828,808,798,812,9601
composition:pplx+fastino+mmbert,redact-multi,False,contacts,2524,2529,56527,2524,2488,2467,2490,55915
composition:pplx+fastino+mmbert,redact-multi,False,names,10870,10914,109143,10853,10766,10471,10819,108670
composition:pplx+fastino+mmbert,redact-multi,False,organizations,1017,1022,21375,1009,913,888,900,20282
composition:pplx+fastino+mmbert,redact-multi,False,secrets,32,32,1195,31,29,29,29,1075
composition:pplx+fastino+mmbert,redact-multi,False,network,111,111,1560,111,110,107,109,1557
composition:pplx+fastino+bardsai,redact-multi,False,other,1939,2010,41683,1559,1288,1217,1313,22757
composition:pplx+fastino+bardsai,redact-multi,False,addresses,2107,2130,42067,2089,2018,1963,2034,40915
composition:pplx+fastino+bardsai,redact-multi,False,accounts,2669,2676,40102,2660,2620,2582,2617,39636
composition:pplx+fastino+bardsai,redact-multi,False,financial,138,141,2081,136,79,76,79,1294
composition:pplx+fastino+bardsai,redact-multi,False,dates,628,628,6990,628,623,615,623,6973
composition:pplx+fastino+bardsai,redact-multi,False,identity,829,834,9796,825,811,800,816,9611
composition:pplx+fastino+bardsai,redact-multi,False,contacts,2524,2529,56527,2520,2485,2467,2490,55874
composition:pplx+fastino+bardsai,redact-multi,False,names,10870,10914,109143,10852,10768,10494,10805,108861
composition:pplx+fastino+bardsai,redact-multi,False,organizations,1017,1022,21375,1009,978,949,977,20956
composition:pplx+fastino+bardsai,redact-multi,False,secrets,32,32,1195,31,29,29,29,1075
composition:pplx+fastino+bardsai,redact-multi,False,network,111,111,1560,111,110,107,109,1557
composition:pplx+fastino+bardsai+mmbert,redact-multi,False,other,1939,2010,41683,1675,1332,1227,1337,24796
composition:pplx+fastino+bardsai+mmbert,redact-multi,False,addresses,2107,2130,42067,2100,2027,1967,2039,41043
composition:pplx+fastino+bardsai+mmbert,redact-multi,False,accounts,2669,2676,40102,2668,2626,2588,2623,39754
composition:pplx+fastino+bardsai+mmbert,redact-multi,False,financial,138,141,2081,138,81,77,80,1385
composition:pplx+fastino+bardsai+mmbert,redact-multi,False,dates,628,628,6990,628,623,615,623,6973
composition:pplx+fastino+bardsai+mmbert,redact-multi,False,identity,829,834,9796,828,811,802,816,9623
composition:pplx+fastino+bardsai+mmbert,redact-multi,False,contacts,2524,2529,56527,2524,2489,2468,2491,55946
composition:pplx+fastino+bardsai+mmbert,redact-multi,False,names,10870,10914,109143,10856,10776,10570,10878,108910
composition:pplx+fastino+bardsai+mmbert,redact-multi,False,organizations,1017,1022,21375,1016,987,959,988,21146
composition:pplx+fastino+bardsai+mmbert,redact-multi,False,secrets,32,32,1195,31,29,29,29,1075
composition:pplx+fastino+bardsai+mmbert,redact-multi,False,network,111,111,1560,111,110,107,109,1557
"composition:vote2(pplx,opf2,nvidia)",redact-multi,False,other,1939,2010,41683,755,609,564,579,9412
